"GUID","ZH Artwert (1995): Artwert KT ZH","ZH Artwert (1995): Artwertberechnung Anteil am CH-Bestand","ZH Artwert (1995): Artwertberechnung Areal weltweit","ZH Artwert (1995): Artwertberechnung Gefährdung CH Punkte","ZH Artwert (1995): Artwertberechnung Gefährdung EU Punkte","ZH Artwert (1995): Artwertberechnung Gefährdung ZH Punkte","ZH Artwert (1995): Neophyt"
"5F004263-F58A-44F9-A367-31A4689ED1BB",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"6103C79B-A344-4219-B202-7A1D6676F937",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"63CAA3BD-68D1-4B76-83FD-0DD2351CA1E4",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"6472DC25-3641-481C-B252-ADDAA8669DDD",2,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"64811DEC-92CF-43C0-8BB3-9BBEFFE0D2A0",3,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"649319E3-CA83-4D75-A96D-887EC1D91089",4,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"683B7393-37AD-4FAD-8924-80A53267EE5E",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"692668D9-4B2C-44C2-88AD-496DCABA5B30",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"696AF1DA-5F8A-4C57-8DDD-3F5F18FE25D5",3,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"6AD69018-15D6-4BAE-BB78-EE71A778275B",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"6ADBE7A4-D693-48BD-9272-4D8656565780",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"6D4430FA-2397-458D-8BA7-16CA45D9CB73",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"6D980D9C-BD6F-40CC-A469-0D6D4EA90B2F",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"6EB61EF5-CB9E-40DB-9A7B-AD5CF6A8C53C",3,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"6FB2B63A-7C15-4780-8097-FA40D4FE221F",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"710A4D70-385F-4E1C-B342-34D8621D5AAF",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"710B4B8A-AF89-4E96-A13A-70C253C6FBA3",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"7384C770-A338-40CC-9860-7E440B9784EF",3,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"75BD0FE6-C2AA-4946-9262-8D5E85FE0003",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"769E2843-5D11-4478-AEEB-EC629FD276C1",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"78DB625C-39E2-474E-BE5D-7CC267FC9B07",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"7CA35567-7F01-47FE-84EA-EB331EE04530",4,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"7D10510B-05FE-45C4-8AFA-0580FEFDB515",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"801C4E4D-7B14-451C-8779-52EE8DE33B01",2,"mittel: 1/4-1/2 (2 Punkte)","gross (0 Punkte)","","","","true"
"80D0BF86-22C5-4BCF-9661-68BDCECE737B",0,"nicht beurteilt (0 Punkte)","nicht beurteilt (0 Punkte)",0,0,0,"true"
"87EAC4FA-B669-4DD7-9CC3-934CDBCD4EEE",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"899B1C1C-123F-4AA5-A5F7-AC47CDEBCDBC",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"89DFDD92-45D0-4126-A312-B9666EE14EE1",0,"nicht beurteilt (0 Punkte)","nicht beurteilt (0 Punkte)",0,0,0,"true"
